Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
77447,2.614E+04,5838,1315,723.7,9750,482.2
77452,2.197E+04,3494,1176,599.1,8957,399.8
77476,1.081E+05,1.176E+04,170.1,1353,2.229E+04,177.3
77498,1.424E+04,1.295E+04,308.5,81.86,159.3,555.9
77500,1.373E+05,3.288E+04,270.1,225.6,48.16,23.91
77501,8.903E+05,1.558E+05,1466,1285,239.9,78.1
77502,2.8E+05,8.2E+04,477.7,421.6,63.69,18.8
77503,2.4E+05,9.784E+04,389.4,381.4,60.73,14.33
77619,2.951E+04,5330,1089,785.8,1.225E+04,477
77650,2.912E+04,5338,1650,1000,1.396E+04,468.7
77658,8177,702.4,48.37,223.4,2965,75.19
77692,2.439E+04,2745,183,208,391.2,265
77756,1.254E+04,1696,136.9,689.7,9581,211.5
77817,1.435E+04,2582,210.9,1698,2.497E+04,215.6
77823,5.226E+04,7.036E+04,525.2,1.576E+04,2.125E+05,648.4
77853,1.429E+04,1630,88.89,253.1,3669,151.4
77856,2.852E+04,5644,1403,820.5,1.192E+04,546.5
77903,1.037E+04,1404,60.35,188.6,3069,109.8
78026,2.02E+05,2.797E+04,715.1,1.878E+04,3.616E+05,948.1
78048,5.567E+04,6213,272.6,4363,7.59E+04,597.1
78055,2.836E+04,5750,1101,680.2,9684,373
78090,1.479E+04,3757,120,627.6,9550,146.6
78107,3.083E+04,3957,538.9,436.5,6829,324.4
78116,1.141E+04,2246,93.19,242.1,5529,121.8
78118,2.237E+04,2144,823.4,2979,6194,797
78160,2.34E+04,3999,1073,598.4,8645,347
78183,2.707E+04,5896,2600,1171,1.595E+04,775.8
78192,1.483E+04,1376,116.6,1004,1.561E+04,237.6
78225,1.98E+04,3771,1561,1034,1.501E+04,461.3
78246,2.387E+04,2436,1075,632.1,8585,456.5
78265,4.117E+04,5393,1487,800,1.14E+04,382
78270,1.005E+04,614.5,105.2,394,6362,158.7
78311,2.961E+04,5778,1500,702.7,8829,477.5
78319,1.373E+04,2915,98.25,257,5408,107.9
78362,1.265E+04,1990,105.1,832.3,1.278E+04,258.9
78421,1.783E+04,7965,100.4,426.3,9738,109.8
78511,2.614E+04,5958,1218,768.2,1.058E+04,414.5
78542,1.367E+04,1823,33.34,28.6,71.77,53.47
78561,1.413E+04,1247,28.56,29.96,66.13,50.84
78566,1.555E+04,1286,123.3,441.6,6452,123.8
78592,7769,822.3,72.12,183.3,2551,92.55
78741,8031,943.6,59.65,130.2,2445,113.4
78837,2.134E+04,2310,105.3,424,6039,167.3
78872,3.338E+04,5516,1495,982.4,1.525E+04,526.6
78920,2.437E+04,3118,120,88.72,197.9,164.2
78971,1.177E+04,1668,81.87,165.6,2990,210
78983,2.187E+04,1231,32.65,27.91,68.5,53.99
78998,2.825E+04,4050,769.5,472.4,6242,266.5
79025,2.019E+04,2.369E+04,7947,2254,1.597E+04,3754
79045,2.337E+05,3.959E+04,9241,1.828E+04,4.265E+04,8375
79057,1.615E+04,1964,138.3,1159,1.695E+04,206.1
79059,1.718E+04,3120,198.1,1393,2.013E+04,293.3
79084,1.303E+04,2836,58.45,95.42,183.9,77.02
79117,2.081E+04,1.184E+04,3732,2343,3.298E+04,1036
79128,1.615E+04,2742,158.8,545.3,7878,171.7
79176,8708,1056,71.99,136.9,3137,167.7
79356,2.366E+04,5562,1016,645,9008,437.6
79443,2.072E+04,2548,1309,877.7,1.13E+04,539.3
79452,2.805E+04,3677,872,643.5,8972,379.2
79724,1.236E+05,3.2E+04,133.8,84.29,33.31,11.37
79725,1.452E+05,3.082E+04,99.18,77.07,39.34,10.63
79726,1.812E+05,3.166E+04,95.29,74.65,37.92,10
79727,2E+05,5.862E+04,149.8,142,47.11,10.06
79735,2.227E+04,3944,1183,647.8,8954,444.5
79782,3.75E+04,4953,1178,838,1.253E+04,445
79804,2.937E+04,5467,1673,974.1,1.353E+04,534.8
79866,2.001E+05,2.022E+05,998.2,4.181E+04,6.021E+05,796.6
79871,9388,669.7,120.5,390.9,5350,123.3
79922,2.289E+04,5719,52.96,104.2,587.6,82.93
79994,3.782E+04,6380,1449,847.1,1.204E+04,552.6
80019,3.339E+04,3.514E+04,232.8,5652,8.001E+04,639.4
80078,9820,2174,87.44,162.3,3570,127.3
80161,4.266E+04,6170,136.7,203.2,370.9,226.8
80208,4.593E+04,1.004E+04,207.7,2515,3.366E+04,215
80245,1.75E+04,2754,984.8,684.6,1.028E+04,343
80324,1.17E+04,927.9,64.77,249.3,5145,108.5
80364,2.836E+04,8042,1363,929,1.354E+04,661.6
80393,1.264E+04,3562,1430,924.1,1.345E+04,403.5
80399,2.036E+04,1.064E+04,53.58,186.1,1760,87.16
80534,3.491E+04,4999,1168,500.1,6702,396.9
80538,1.429E+05,7.864E+04,3.151E+04,9873,1.073E+05,1.263E+04
80571,3.156E+04,6898,1023,548.5,7775,343.9
