Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
0,2.945E+04,7797,1935,910.3,1.165E+04,654.4
1,209,153.6,49.59,47.29,86.02,77.72
2,224.4,63.07,28.07,38.49,72.81,45.43
3,79.95,37.75,30.83,35.73,48.79,50.49
4,202.8,36.77,17.68,17.94,59.4,37.41
5,133.7,45.51,27.67,26.76,45.99,27.83
6,210.4,124.7,50.82,43.28,83.1,50.65
7,195,49.31,29.14,35.04,64.03,25.41
8,2.362E+04,3876,989.4,583.1,8605,414.9
9,234,77.92,51.27,39.59,74.04,50.07
10,163.3,97.75,55.24,53.14,79.16,128.8
11,372,65.04,49.39,44.86,79.28,52.8
12,121.8,52.92,31.18,22.82,62.17,35.16
13,355.8,56.91,49.63,43.75,97.78,80.21
14,213.7,69.51,31.06,30.14,72.2,31.09
15,3328,533.5,369.7,536.7,1032,394
16,389.7,168.6,34.17,40.19,81.86,66.57
17,2.915E+04,5133,1473,884.6,1.218E+04,465.6
18,133.2,49.05,17.23,45.44,55.55,21.4
19,567.3,96.58,49.45,61.16,110.6,61.22
20,260.1,88.62,50.12,164.4,322.9,61.26
21,603.2,195,61.67,64.75,136,85.6
22,475.8,115.3,53,70.35,144.8,62.25
23,211.7,46.17,38.74,18.55,62.04,68.52
24,285.6,127.6,48.69,30.17,65.27,31.77
25,225.2,130.2,44.49,41.98,82.5,75.92
26,212.8,109.3,47.74,45.78,78.72,97.69
27,362.5,63.88,41.34,42.57,79.54,67.96
28,552.4,71.91,52.03,92.01,185.9,71.26
29,250.1,99.69,37.08,32.32,75.01,55.98
30,225.8,99.25,70.11,57.04,100.9,100.6
31,4635,262.2,73,136.7,1375,99.77
32,303.1,41.11,45.51,40.29,84.96,53.28
33,166.7,86.58,49.86,43.52,85.49,83.86
34,3569,1945,94.11,545,6233,98.2
35,210.2,110.6,46.58,43.11,70.42,72.69
36,175.6,64.22,41.04,39.17,89.84,69.22
37,146.9,131.3,20.09,21.45,46.26,47.69
38,295.3,72.74,69.27,104,203.4,117.8
39,289,61.06,40.46,65.22,126.5,41.47
40,127.5,41.28,22.78,21.87,46.25,35.13
41,226.7,115.7,41.85,38.15,77.39,48.82
42,116.4,33.02,30.59,26.66,52.92,40.11
43,237.8,83.95,56.94,41.27,98.25,69.9
44,460.8,96.11,41.39,56.07,98.39,66.65
45,230.4,87.62,23.37,34.91,45.29,42.01
46,210.3,76.73,30.04,31.87,55.82,46.84
47,170.1,83.17,42.65,39.67,79.46,78.33
48,100.1,36.11,25.8,25.35,40.09,59.06
49,2874,7290,157.5,168.6,449.9,178.7
50,627.5,145.4,35.95,67.78,153,72.98
51,222.3,51.45,78.16,317.3,659,139
52,259.1,60.75,36.26,42.12,80.21,80.76
53,101.6,42.19,22.97,28.49,45.96,19.33
54,75.99,31.53,14.61,19.15,45.48,14.84
55,291.6,111.1,20.51,49.44,93.58,39.16
56,162.5,84.87,27.7,39.08,58.36,52.55
57,195.8,111.8,22.16,41.77,55.66,33.42
58,178.3,59.7,66.9,29.14,62.19,42.29
59,201.3,109.3,34.01,41.28,88.41,53.4
60,110.2,52.84,45.69,35.92,48.22,73.91
61,878.6,150.3,49.13,94.99,224.4,94.77
62,219.5,78.19,38.8,51.66,77.26,79.53
63,169.7,42.92,25.99,28.2,61.41,45.66
64,9603,974,99.54,296.7,3822,132.6
65,313.6,139.1,56.26,51.67,97.38,56.91
66,534.1,77.49,63.96,99.7,183.4,78.94
67,123.9,49.37,37.69,36.82,54.2,45.47
68,284.3,119.1,68.46,53.39,103.4,106.1
69,287.3,65.44,43.18,51.82,102.6,66.61
70,363.3,137.1,49.21,40.15,82.86,63.87
71,102.3,62.85,29.23,24.74,44.4,19.88
72,238.1,144.1,43.92,37.99,77.56,52.72
73,126.9,55.56,36.31,29.1,67.39,45.22
74,80.11,27.37,32.06,17.73,53.88,15.27
75,154.4,29.37,26.52,29.55,50.46,58.66
76,210.8,88.19,47.74,52.57,101.5,86.41
77,1.115E+04,1487,78.19,631,7019,111.7
78,391.2,51.78,51.45,52.75,102.2,29.11
79,174,50.77,31.6,35.32,84.77,64.7
80,135.2,77.94,42.51,39.52,68.97,55.58
81,9239,939.2,100,313.3,4248,86.06
82,349,146.1,56.79,51.52,108.8,89.46
83,523.7,304.6,59.06,50.44,91.58,51.6
84,8596,3791,1590,839.2,1.135E+04,568.5
85,141.3,74.34,20.32,21.3,58.06,18.36
86,278.2,79.16,31.3,54.13,97.88,47.66
87,230,51.42,20.44,33.71,73.97,28.74
88,188.8,101.3,57.92,35.75,81.38,82.41
89,327.4,81.18,30.67,48.99,67.26,42.19
90,174.6,77.61,31.13,32.78,49.63,65.16
91,2.22E+04,2327,103.5,37.68,101.7,96.07
92,79.1,46.66,17.47,21.48,36.86,37.05
93,208.6,125.7,32.53,38.59,70.97,54.95
94,315.6,86.59,54.11,51.09,99.64,69.81
95,259,91.54,27.38,60.73,99.89,49.08
96,256.2,39.46,44.57,49.93,97.4,90.87
97,110.4,28.18,30.3,25.53,45.12,43.46
98,569.9,92.9,41.04,74.71,192.8,51.46
99,142.3,76.55,23.98,28.17,62.54,43.29
100,215.1,113.4,35.96,27.35,44.96,61.03
101,110.3,77.96,21.73,23.86,33.3,29.67
102,171.3,77.38,23.58,32.6,55.02,31.6
103,148.1,85.99,34.2,28.09,73.87,69.35
104,169.8,198.8,47.03,31.83,70.19,44.42
105,314.5,63.32,45.69,41.6,83.8,48.3
106,644.2,66.01,60.85,94.63,209.8,69.76
107,149.5,65.99,28.78,30.34,55.28,49.49
108,1199,172,62.04,54.48,473.2,89.56
109,164.9,89.53,58.19,44.09,98.69,119.9
110,296.2,43.36,41.67,38.36,79.98,48.4
111,403.3,41.02,36.2,39.01,101.9,52.87
112,211,50.56,24.25,34.76,71.95,34.66
113,182.9,32.21,29.85,36.64,60.62,33.5
114,416.8,178,35.99,32.06,78.88,54.99
115,129.3,81.73,29.02,21.13,53.93,28.35
116,267.5,53.65,35.78,39.81,92.62,27.39
117,94.62,48.91,29.79,63.85,450.8,51.69
118,1311,132.8,79.71,151.2,380.1,123.3
119,370.8,67.84,76.22,58.11,121.4,135.3
120,229.6,123.7,42.4,35.64,66.18,60.56
121,247.3,101.1,23.76,25.39,58.62,46.08
122,522.8,74.89,73,143.2,324.8,105.8
123,1074,686.6,36.61,38.8,93.46,54.27
124,124.7,73.95,52.38,31.69,59.24,62.84
125,294.3,43.28,42.96,38.56,76.5,83.99
126,557,66.93,145.9,267.7,607.3,209.3
127,669.8,190.3,68.74,61.71,156.9,111.1
128,276.4,104.6,70.27,50.5,111.1,104.4
129,326.2,80.19,24.35,41.13,93.62,49.48
130,372.7,60.17,33.31,40.84,87.37,39.15
131,195.3,123.4,33.57,32.91,71.29,69.89
132,166.9,57.93,31.48,37.52,62.48,43.74
133,126.5,48.29,38.15,36.62,54.27,55.32
134,2032,240.4,65.88,244.2,2178,73.13
135,403.1,68.63,24.69,68.69,105.4,47.3
136,520.9,115.6,55.15,69.89,140.2,59.47
137,409.8,74.71,27.97,59.9,95.36,44.91
138,360.4,33.87,78.3,53.5,121.6,96.42
139,152.1,78.35,25.09,27.67,46.96,61.24
140,1.367E+04,3617,1077,961.5,1.368E+04,409.1
141,113.9,20.54,26.78,17.91,49.74,29.21
