Ecotaxa_annotation_category,Ecotaxa_annotation_hierarchy,Full_hierarchy,Rank,Type,Domain,Phylum,Class,Order,Family,Genus,Functional_group,WORMS_ID,Reference,Citation
ciliate-tintinnids,living>Eukaryota>Harosa>Alveolata>Ciliophora>ciliate-tintinnids,Chromista(Kingdom)>Harosa(Subkingdom)>Alveolata(Infrakingdom)>Ciliophora(Phylum),Phylum,Living,Chromista,Ciliophora,,,,,,urn:lsid:marinespecies.org:taxname:11,"Margulis, L.; Schwartz, K.V. (1998). Five Kingdoms: an illustrated guide to the Phyla of life on earth. 3rd edition. Freeman: New York, NY (USA). ISBN 0-7167-3027-8. xx, 520 pp.",WoRMS(2025).Ciliophora.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=11on2025-08-04
Dinophyceae,living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae,Chromista(Kingdom)>Harosa(Subkingdom)>Alveolata(Infrakingdom)>Myzozoa(Phylum)>Dinozoa(Subphylum)>Dinoflagellata(Infraphylum)>Dinophyceae(Class),Class,Living,Chromista,Myzozoa,Dinophyceae,,,,,urn:lsid:marinespecies.org:taxname:19542,"Parker, S.P. (Ed.) (1982). Synopsis and classification of living organisms. McGraw Hill Book Company: New York, NY (USA). ISBN 0-07-079031-0. 1166, 1232 pp.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).Dinophyceae.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=19542on2025-08-04"
Ceratium,living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gonyaulacales>Ceratiaceae>Ceratium,Chromista(Kingdom)>Harosa(Subkingdom)>Alveolata(Infrakingdom)>Myzozoa(Phylum)>Dinozoa(Subphylum)>Dinoflagellata(Infraphylum)>Dinophyceae(Class)>Peridiniphycidae(Subclass)>Gonyaulacales(Order)>Ceratiaceae(Family)>Ceratium(Genus),Genus,Living,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,,urn:lsid:marinespecies.org:taxname:109506,"Gómez, F. (2005). A list of free-living dinoflagellate species in the world's oceans. <em>Acta Bot. Croat.</em> 64(1): 129-212.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).CeratiumF.Schrank,1793.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=109506on2025-08-04"
Amphidinium operculatum,living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>62>Gymnodiniaceae>Amphidinium>Amphidinium operculatum,Chromista(Kingdom)>Harosa(Subkingdom)>Alveolata(Infrakingdom)>Myzozoa(Phylum)>Dinozoa(Subphylum)>Dinoflagellata(Infraphylum)>Dinophyceae(Class)>Amphidiniales(Order)>Amphidiniaceae(Family)>Amphidinium(Genus),Genus,Living,Chromista,Myzozoa,Dinophyceae,Amphidiniales,Amphidiniaceae,Amphidinium,,urn:lsid:marinespecies.org:taxname:109473,"Gómez, F. (2005). A list of free-living dinoflagellate species in the world's oceans. <em>Acta Bot. Croat.</em> 64(1): 129-212.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).AmphidiniumClaperède&Lachmann,1859.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=109473on2025-08-04"
Gymnodinium,living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Gymnodiniales>Gymnodiniaceae>Gymnodinium,Chromista(Kingdom)>Harosa(Subkingdom)>Alveolata(Infrakingdom)>Myzozoa(Phylum)>Dinozoa(Subphylum)>Dinoflagellata(Infraphylum)>Dinophyceae(Class)>Gymnodiniales(Order)>Gymnodiniaceae(Family)>Gymnodinium(Genus),Genus,Living,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,,urn:lsid:marinespecies.org:taxname:109475,"Gómez, F. (2005). A list of free-living dinoflagellate species in the world's oceans. <em>Acta Bot. Croat.</em> 64(1): 129-212.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).GymnodiniumF.Stein,1878.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=109475on2025-08-04"
Peridinium,living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Peridiniaceae>Peridinium,Chromista(Kingdom)>Harosa(Subkingdom)>Alveolata(Infrakingdom)>Myzozoa(Phylum)>Dinozoa(Subphylum)>Dinoflagellata(Infraphylum)>Dinophyceae(Class)>Peridiniphycidae(Subclass)>Peridiniales(Order)>Peridiniaceae(Family)>Peridinium(Genus),Genus,Living,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Peridinium,,urn:lsid:marinespecies.org:taxname:109549,"Ehrenberg, C.G. (1830). Beiträge zur Kenntnis der Organisation der Infusorien und ihrer geographischen Verbreitung, besonders in Sibirien. <em>Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin.</em> 1830: 1-88.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).PeridiniumEhrenberg,1830.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=109549on2025-08-04"
cyst,living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>cyst,Chromista(Kingdom)>Harosa(Subkingdom)>Alveolata(Infrakingdom)>Myzozoa(Phylum)>Dinozoa(Subphylum)>Dinoflagellata(Infraphylum)>Dinophyceae(Class),Class,Living,Chromista,Myzozoa,Dinophyceae,,,,,urn:lsid:marinespecies.org:taxname:19542,"Parker, S.P. (Ed.) (1982). Synopsis and classification of living organisms. McGraw Hill Book Company: New York, NY (USA). ISBN 0-07-079031-0. 1166, 1232 pp.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).Dinophyceae.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=19542on2025-08-04"
Cercozoa,living>Eukaryota>Harosa>Rhizaria>Cercozoa,Chromista(Kingdom)>Harosa(Subkingdom)>Rhizaria(Infrakingdom)>Cercozoa(Phylum),Phylum,Living,Chromista,Cercozoa,,,,,,urn:lsid:marinespecies.org:taxname:562852,"Cavalier-Smith, T. (1998). A revised six-kingdom system of life. <em>Biological Reviews, Cambridge Philosophical Society.</em> 73(3): 203-266.",WoRMS(2025).Cercozoa.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=562852on2025-08-04
Cercomonas,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Sarcomonadea>Cercomonadida>Cercomonadidae>Cercomonas,Chromista(Kingdom)>Harosa(Subkingdom)>Rhizaria(Infrakingdom)>Cercozoa(Phylum)>Ventrifilosa(Superclass)>Sarcomonadea(Class)>Cercomonadida(Order)>Cercomonadidae(Family)>Cercomonas(Genus),Genus,Living,Chromista,Cercozoa,Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,,urn:lsid:marinespecies.org:taxname:577493,"Dujardin, F. (1841). Histoire Naturelle des Zoophytes. Infusoires, comprenant la physiologie et la classification de ces animaux, et la manière de les étudier à l'aide du microscope. Paris. Librairie Encyclopédique de Roret, xii + 684 pp.; Atlas: 22 pls","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).CercomonasDujardin,1841.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=577493on2025-08-04"
Bacillariophyceae,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class),Class,Living,Chromista,Heterokontophyta,Bacillariophyceae,,,,,urn:lsid:marinespecies.org:taxname:148899,"Margulis, L.; Schwartz, K.V. (1982). Five Kingdoms : an illustrated guide to the phyla of life on earth. Second edition. Freeman.","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.Bacillariophyceae.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=148899on2025-08-04"
Achnanthidium,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Achnanthidium,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class)>Bacillariophycidae(Subclass)>Bacillariophycanae(Superorder)>Achnanthales(Order)>Achnanthidiaceae(Family)>Achnanthidium(Genus),Genus,Living,Chromista,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,,urn:lsid:marinespecies.org:taxname:163531,"Kützing, F.T. (1844). Die Kieselschaligen.  Bacillarien oder Diatomeen. <em>Nordhausen.</em> 152 pp., 30 pls.","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.AchnanthidiumF.T.Kützing,1844.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=163531on2025-08-04"
Asterionella,living>Eukaryota>Harosa>Stramenopiles>Ochrophyta>Bacillariophyta>Bacillariophytina>Bacillariophyceae>Asterionella,Chromista(Kingdom)>Heterokontophyta(Phylum)>Bacillariophytina(Subphylum)>Bacillariophyceae(Class)>Fragilariophycidae(Subclass)>Fragilariophycanae(Superorder)>Fragilariales(Order)>Fragilariaceae(Family)>Asterionella(Genus),Genus,Living,Chromista,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionella,,urn:lsid:marinespecies.org:taxname:148953,"Hassall, A.H. (1850). The Diatomaceae in the Water Supplied to the inhabitants of London and the suburban districts.  A microscopic Examination of the water. London, 60 pp., 6 pls","Kociolek,J.P.;Blanco,S.;Coste,M.;Ector,L.;Liu,Y.;Karthick,B.;Kulikovskiy,M.;Lundholm,N.;Ludwig,T.;Potapova,M.;Rimet,F.;Sabbe,K.;Sala,S.;Sar,E.;Taylor,J.;VandeVijver,B.;Wetzel,C.E.;Williams,D.M.;Witkowski,A.;Witkowski,J.(2025).DiatomBase.AsterionellaA.H.Hassall,1850.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=148953on2025-08-04"
