Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
4874,1082,1276,59.66,41.83,53.29,77.29
4899,7224,575.8,34.51,28.28,133.6,56.57
4902,6279,552,21.3,72.81,1347,23.27
4913,4778,560.7,24.89,93.5,1385,18.74
4914,5395,1825,31.51,438.3,4340,42.8
4917,1.087E+04,2552,30.24,262.8,6183,64.53
4919,338.9,340,20.24,13.87,33.99,47.43
4954,2.084E+06,2.215E+06,2.088E+05,1.02E+06,2.005E+06,1.56E+05
4961,2.361E+04,6204,1225,641,9375,335.3
4990,1425,548.5,18.55,17.22,32.72,43.59
4993,1.082E+04,1667,32.79,143.5,2805,73.13
5009,4656,876.9,25.8,82.09,1940,37.62
5019,1.38E+04,1875,1743,665.1,8888,452.1
5034,6194,6620,37.95,35.09,37.91,103.5
5055,3388,2440,36.57,26.58,43.84,57.18
5063,4531,336.1,15.37,55.46,914.8,13.79
5085,53.99,709.4,30.06,33.76,51.26,23.38
5093,1.087E+04,895.5,25.02,563.9,8316,72.53
5094,1859,444.1,180.8,253.4,511.7,159.5
5102,4023,500.9,21.7,17.99,47.03,44.22
5103,1.005E+04,1.263E+04,54.53,41.2,132.7,113.3
5107,1.026E+04,3336,36.61,816.2,9878,47.45
5117,1868,908.1,23.47,92.04,930.2,52.73
5119,2461,1327,37.11,29.61,36.31,60.86
5120,2783,9797,61.95,61.96,127.8,56
5128,1.074E+04,856.8,36.3,218.2,3619,61.53
5146,1.383E+04,1214,29.49,146.1,2306,49.15
5153,6101,1326,24.48,86.93,1824,64.83
5157,9872,1565,50.58,639.4,1.055E+04,36.37
5158,6567,1494,697.4,888.8,1848,613.6
5166,110.4,492.2,20.75,14.91,35.46,30.69
5186,251.2,325.8,32.35,15.41,49.13,18.58
5195,2.846E+04,1404,51.16,51.07,84.6,118.9
5201,9404,525.2,31.89,193.5,4219,35.88
5206,927.9,380.6,25.79,22.77,35.18,36.24
5211,817.3,756.1,25.97,19.72,33.06,56.85
5231,8211,355.2,18.72,109,1879,26.98
5236,2756,851.4,19.28,398.1,4341,35.83
5255,1.87E+04,2999,33.84,55.62,190.6,127.1
5262,3850,4567,39.44,42.01,151.5,74.41
5265,3.55E+04,5422,1826,827,1.102E+04,496
5269,142.6,3740,34.34,25.32,52.54,58.79
5301,6140,3436,49.99,74.45,114.4,69.33
5303,1.057E+04,1311,30.81,138.7,2218,43.43
5306,143.8,571.1,32.71,36.18,40.52,52.34
5317,8454,577.3,22.61,209,2872,49.46
5324,9284,6044,549.9,1296,2737,571.1
5328,9048,1350,31.88,125.3,3063,60.53
5329,2874,1362,27.24,329.7,3505,52.51
5331,6770,922.6,31.42,84.58,1216,74.2
5347,2695,552.8,16.54,151.4,1700,18.86
5354,1.008E+04,994.7,24.07,259.2,4340,25.8
5359,1.289E+04,3.659E+04,99.59,65.5,86.39,208.8
5361,2.42E+04,5150,1947,927.6,1.182E+04,473.4
5364,2.111E+04,5325,890.1,678.4,1.026E+04,298.7
5365,59.57,416,23.59,18.04,28.67,43.9
5400,1.679E+04,4346,1601,1715,3837,1357
5417,2229,353.9,16,35.9,596.6,22.51
5441,7360,928.5,37.97,116.3,2179,32.23
5447,3428,1172,208.1,456.3,1016,218.3
5448,2.244E+04,6410,1132,658.8,9099,339.8
5451,7443,3342,1.451E+04,2006,5791,4294
5454,147.6,313.6,19.13,14.41,24.46,27.86
5456,5393,984.7,29.27,246.6,3687,34.14
5468,2446,649,22.31,34.91,46.3,21.28
5481,1.081E+04,3925,48.03,741.8,1.11E+04,58.29
5486,530.4,488.1,31.82,21.88,58.31,34.56
5502,6409,4164,34.82,30.19,40.19,52.92
5504,40.74,372.7,19.78,19.6,36.25,42.93
5511,8963,1382,39.1,170.3,3391,30.95
5512,4112,3964,38.37,32.11,84.31,50.17
5518,5056,663.2,30.38,35.65,222.4,19.62
5529,7811,1853,35.62,121.1,2733,58.88
5533,2.843E+04,5856,970.5,647.8,1.025E+04,287.1
