Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
322286,1301,5.245E+04,217.6,113.2,282.9,92.59
322287,2585,1003,73.97,100.1,559.7,30.02
322406,852.7,1222,44.48,44.33,86.1,55.13
322528,347.4,802.7,41.97,390.5,1396,21.38
322651,852.1,796.2,39.84,65.96,310.1,29.22
322652,2309,2070,49.87,116.5,733,75.41
322768,6619,6424,65.66,1427,5922,96.29
322769,7402,7225,51.21,598.8,4099,85.81
322890,1407,1489,71.44,64.81,332.9,27.23
322891,5552,7036,83.35,1287,5241,50.04
323008,5121,6858,202.6,453.6,192.7,106.6
323129,3245,1918,41.28,148.3,982.6,37.85
323248,5593,5584,60.56,239.7,1499,43.57
323249,3476,3449,64.1,234.6,1489,51.4
323369,2604,3412,71.27,215.6,1324,38.42
323370,6750,2.587E+04,205.8,870.2,4057,167.4
323492,4063,3855,42.8,860.6,3619,62.13
323608,787.7,805.8,37.19,65.54,292.3,25
323609,1598,4467,46.95,234.4,1359,60.88
323857,7658,8143,79.42,1358,8821,82.34
323981,3567,4.083E+04,226.5,194.6,121.6,110
324220,1919,2852,49.05,101.6,521.4,67.68
324345,187.2,344.1,129.1,133.1,98.19,45.57
324346,813.8,893.4,39.22,67.95,302.9,48.14
324467,2350,1974,826.1,457.9,343.7,237.6
324585,1411,2463,496.2,346.2,278.3,310.7
324826,1.089E+04,9871,282,937.5,5309,139.1
325304,1.354E+04,1.274E+05,223.1,476.5,2189,92.68
325419,1.063E+04,1.985E+04,89.52,588.5,5124,74.37
325656,199,237.7,114.2,132.4,93.76,70.5
326024,1.094E+04,6464,58.69,676.1,4762,46.81
326025,3531,4056,81.25,156.8,944,37.3
326147,2.239E+05,1.859E+05,729.9,1.464E+04,8.345E+04,552
326260,104.7,363,105,161.3,125.2,24.54
326261,2786,3073,108.9,171.3,810.4,129.5
326383,1232,1919,57.26,96.5,393.4,57.05
326384,724.3,948.2,50.55,45.5,226.4,22.57
326624,1.55E+04,3.025E+04,104.3,1358,7832,140.4
326625,1.157E+04,2.903E+04,2666,783.6,3768,292.1
326861,7690,4818,49.42,435.5,2931,38.61
326862,9924,2.255E+04,6384,1178,737.1,1628
326982,7.713E+04,3.313E+05,981.6,756.3,983.1,298.9
327217,2182,5150,81.06,689.7,2691,60.75
327218,2.024E+04,2.889E+04,6859,2206,1.218E+04,645.6
327219,1.606E+04,8640,2234,808.6,4018,254.6
327220,1034,628,56.08,64.05,333.3,76.1
327221,373.3,602.7,158.8,133.3,105.8,65.26
327330,1702,1455,66.6,68.55,325.9,35.26
327454,3665,1761,70.38,173,1067,34.4
327698,1.348E+04,8975,90.36,1081,7918,52.66
327820,2342,1628,40.98,100.9,547.9,42.72
327936,372.4,1332,57.92,203.6,654.4,39.56
327937,398.5,2430,158.8,153.3,115.6,89.68
327938,1.267E+04,2.81E+04,77,1621,1.108E+04,49.09
327939,8794,1.865E+04,1791,907.3,4729,285.4
327940,8288,4.516E+04,150.5,109.1,305,136.7
328057,2250,1446,52.66,96.44,557.7,19.32
328174,358.7,4798,60.79,70.65,293,56.12
328299,1.926E+04,1.035E+05,279.9,599.8,3313,189.2
328537,1191,1703,52.31,43.58,289.8,41.07
328538,6083,5400,68.43,1354,5513,47.27
328660,1821,4473,71.86,793,3517,48.17
328781,1565,2788,71.65,91.29,361.4,147.3
328906,890.7,3833,71.56,43.66,102.2,44.69
328907,5479,1.116E+04,72.82,265,1363,86.27
328908,2098,1229,49.03,116.5,702.8,42.46
328909,1138,2823,62.77,49.91,290.1,77.35
329023,646.5,1325,44.41,58.99,236.4,29.45
329024,2641,2704,62.7,98.34,567.8,37.95
329145,9.058E+04,1.009E+05,301.9,5866,3.536E+04,286.1
329146,807.9,2404,98.09,44.82,103.3,43.48
329259,3137,5576,66.84,809.5,3428,65.11
329381,253.5,302.1,420.7,374.2,258.5,131.4
329382,3987,5445,76.04,179,1226,54.77
329383,3999,4697,75.24,1210,5197,55.71
329507,1.817E+05,2.479E+05,452.5,1.235E+04,7.587E+04,377.3
329618,600.9,810.2,228.7,115.3,99.47,69.03
329739,6079,1.314E+04,83.5,1193,5525,75.78
329740,1923,2560,40.94,115.5,631.3,28.55
329741,460.5,404.4,179.8,125,100.1,78.27
329859,3.086E+05,7.715E+05,1854,1.625E+04,8.735E+04,1598
330076,1408,2612,109.5,122.4,485.7,77.16
330313,83.38,380.5,82.97,131.8,108,26.05
330314,1595,2757,45.53,158.5,852.5,48.95
330680,3800,5474,92.74,886.4,3796,34.26
330922,4288,2273,68.2,231,1439,55.35
330923,2751,1052,28,154.5,943.4,58.07
331404,920.8,2372,47.97,221.1,1350,48.68
331405,3856,7332,93.21,1019,4772,58.65
331642,1648,3135,84.26,82.28,384.2,54.2
332004,3248,2711,73.56,144.8,990.9,90.02
332122,1231,3998,377.1,225.6,125.4,263.5
332123,1.289E+04,8533,3889,1075,4499,479.3
332246,1.522E+04,7321,4757,1143,4973,454.7
332247,1846,1994,27.06,88.69,517.6,39.49
332365,296.4,380.2,113.7,140.9,105.5,57.11
332482,1.889E+04,4.158E+04,121.8,262.7,588.7,81.13
332848,4091,2596,65.32,214.4,1336,54.1
332849,4091,7177,167.3,976.4,4186,150.8
333093,2092,1292,28.18,111.9,453,36.14
333212,139.4,279.3,109.9,253.3,205,51.44
333213,840.8,2023,294.2,193.4,128.6,140.4
333575,3961,1.025E+04,100.3,1428,5936,114.4
333693,2235,1696,62,128.7,637.1,43.51
333816,2.575E+04,1.962E+05,457.8,254.6,181.6,205.7
333817,1.233E+04,9.428E+04,143.8,501.5,3856,143.5
333818,6069,4451,72.6,1108,4820,65.49
